frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,http.host,http.request.method,dns.qry.name
"154","Mar 27, 2025 02:33:18.245846000 India Standard Time","172.16.44.224","35.72.108.16","50008","443",,,,,
"155","Mar 27, 2025 02:33:18.245861000 India Standard Time","172.16.44.224","35.72.108.16","50009","443",,,,,
"156","Mar 27, 2025 02:33:18.245866000 India Standard Time","172.16.44.224","35.72.108.16","50008","443",,,,,
"157","Mar 27, 2025 02:33:18.245943000 India Standard Time","172.16.44.224","35.72.108.16","50008","443",,,,,
"158","Mar 27, 2025 02:33:18.245943000 India Standard Time","172.16.44.224","35.72.108.16","50009","443",,,,,
"159","Mar 27, 2025 02:33:18.245973000 India Standard Time","172.16.44.224","35.72.108.16","50008","443",,,,,
"160","Mar 27, 2025 02:33:18.245974000 India Standard Time","172.16.44.224","35.72.108.16","50009","443",,,,,
"161","Mar 27, 2025 02:33:18.249587000 India Standard Time","35.72.108.16","172.16.44.224","443","50008",,,,,
"162","Mar 27, 2025 02:33:18.249587000 India Standard Time","35.72.108.16","172.16.44.224","443","50009",,,,,
"163","Mar 27, 2025 02:33:18.249587000 India Standard Time","35.72.108.16","172.16.44.224","443","50009",,,,,
"164","Mar 27, 2025 02:33:18.249587000 India Standard Time","35.72.108.16","172.16.44.224","443","50009",,,,,
"165","Mar 27, 2025 02:33:18.249587000 India Standard Time","35.72.108.16","172.16.44.224","443","50009",,,,,
"166","Mar 27, 2025 02:33:18.249587000 India Standard Time","35.72.108.16","172.16.44.224","443","50008",,,,,
"167","Mar 27, 2025 02:33:18.249587000 India Standard Time","35.72.108.16","172.16.44.224","443","50008",,,,,
"168","Mar 27, 2025 02:33:18.249587000 India Standard Time","35.72.108.16","172.16.44.224","443","50008",,,,,
"169","Mar 27, 2025 02:33:18.262156000 India Standard Time","35.72.108.16","172.16.44.224","443","50011",,,,,
"170","Mar 27, 2025 02:33:18.262156000 India Standard Time","35.72.108.16","172.16.44.224","443","50011",,,,,
"171","Mar 27, 2025 02:33:18.262253000 India Standard Time","172.16.44.224","35.72.108.16","50011","443",,,,,
"172","Mar 27, 2025 02:33:18.262347000 India Standard Time","172.16.44.224","35.72.108.16","50011","443",,,,,
"173","Mar 27, 2025 02:33:18.262377000 India Standard Time","172.16.44.224","35.72.108.16","50011","443",,,,,
"174","Mar 27, 2025 02:33:18.265129000 India Standard Time","35.72.108.16","172.16.44.224","443","50011",,,,,
"175","Mar 27, 2025 02:33:18.265129000 India Standard Time","35.72.108.16","172.16.44.224","443","50011",,,,,
"176","Mar 27, 2025 02:33:18.265129000 India Standard Time","35.72.108.16","172.16.44.224","443","50010",,,,,
"177","Mar 27, 2025 02:33:18.265129000 India Standard Time","35.72.108.16","172.16.44.224","443","50010",,,,,
"178","Mar 27, 2025 02:33:18.265182000 India Standard Time","172.16.44.224","35.72.108.16","50010","443",,,,,
"179","Mar 27, 2025 02:33:18.265216000 India Standard Time","172.16.44.224","35.72.108.16","50010","443",,,,,
"180","Mar 27, 2025 02:33:18.265287000 India Standard Time","172.16.44.224","35.72.108.16","50010","443",,,,,
"181","Mar 27, 2025 02:33:18.265321000 India Standard Time","172.16.44.224","35.72.108.16","50010","443",,,,,
"182","Mar 27, 2025 02:33:18.268229000 India Standard Time","35.72.108.16","172.16.44.224","443","50010",,,,,
"183","Mar 27, 2025 02:33:18.268229000 India Standard Time","35.72.108.16","172.16.44.224","443","50010",,,,,
"184","Mar 27, 2025 02:33:18.268229000 India Standard Time","35.72.108.16","172.16.44.224","443","50010",,,,,
"185","Mar 27, 2025 02:33:18.282535000 India Standard Time","35.72.108.16","172.16.44.224","443","50013",,,,,
"186","Mar 27, 2025 02:33:18.282535000 India Standard Time","35.72.108.16","172.16.44.224","443","50013",,,,,
